Curriculum,"Accounting, B.S.",,,,,,,,
Institution,LSUAM,,,,,,,,
Degree Type,Bachelor of Science,,,,,,,,
System Type,semester,,,,,,,,
CIP,52.03,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Principles of Microeconomics,ECON,2000,,,,3,,
2,English Composition I,ENGL,1001,,,,3,,
3,College Algebra,MATH,1021,,,,3,,
4,Natural Science,GENED,,,3,,3,,
5,Humanities,GENED,,,,,3,,
6,Introductory Financial Accounting,ACCT,2001,3,,,3,,
7,Introduction to Management Information Systems for Business Majors,ISDS,1102,3,,,3,,
8,Calculus with Business and Economic Applications,MATH,1431,3,,,3,,
9,Oral and Written Communication Requirement 1,,,,,,3,,
10,Natural Science,GENED,,,,,3,,
11,Principles of Macroeconomics,ECON,2010,1,,,3,,
12,Business Statistics and Analytics I,ISDS,2000,8,,,3,,
13,Introductory Managerial Accounting,ACCT,2101,6,,,3,,
14,Oral and Written Communication Requirement 2,,,,,,3,,
15,Humanities,GENED,,,,,3,,
16,"Money, Banking and Macroeconomic Activity",ECON,2035,11;1,,,3,,
17,English Composition II,ENGL,2000,2,,,3,,
18,Business Statistics and Analytics II,ISDS,2001,12,,,3,,
19,Arts,GENED,,,,,3,,
20,Natural Sciences,GENED,,,,,3,,
21,Intermediate Accounting Part I,ACCT,3001,13;6;7;2;8;3;1,,,3,,
22,Accounting Analytics,ACCT,3025,13;18,,,3,,
23,Principles of Finance,FIN,3716,6;11;12,,,3,,
24,Introduction to Operations Management,ISDS,3115,,18,,3,,
25,Humanities,GENED,,,,,3,,
26,Intermediate Accounting Part II,ACCT,3021,21,,,3,,
27,Cost Analysis and Control,ACCT,3121,21,,,3,,
28,Business Law,BLAW,3201,,,,3,,
29,Principles of Management,MGT,3200,,,,3,,
30,Principles of Marketing,MKT,3401,,,,3,,
31,Accounting Information Systems,ACCT,3122,22;21;7,,,3,,
32,Income Tax Accounting I,ACCT,3221,21,,,3,,
33,Advanced Accounting,ACCT,4022,26,,,3,,
34,Governmental and Not-for-Profit Accounting,ACCT,4421,21,,,3,,
35,Commercial Transactions for Accountants,BLAW,4203,28,,,3,,
36,Elective,,,,,,3,,
37,Auditing,ACCT,3222,26;31,,,3,,
38,Audit Analytics,ACCT,4244,31,,,3,,
39,Strategic Management,MGT,3830,29;30,23,,3,,
40,Elective,,,,,,3,,
41,Elective,,,,,,3,,
