"Previous 
Local Code","UCOP Major
Code (CSS)",ISIS Major Code,Major Abbreviation,Major Description ,Diploma Title,Start Term,End Term,"Student 
Level",Department,Award Type,Program Length (in years),College,CIP Code,CIP Description,STEM,"Self 
Supporting","Discontinued or
Phasing Out",Notes,,,,,,,,
,0HK,AA25,BlkDspAfAm,Black Diaspora &African AmrcSt,Black Diaspora & African American Studies,S122,,UN,AAS,BA,4.00,RE MU TH WA FI SI SN EI,050201,AFRICAN-AMERICAN/BLACK STUDIES,,,,Administrative start in S1 to accommodate new students attending Summer,,,,,,,,
716,716,AM00,Pre-AMES,Pre-AMES,,SP82,FA09,UN,AMES,None,4,RE MU TH WA FI,149999,"ENGINEERING, OTHER",YES,,YES,,,,,,,,,
,716,AM01,Pr-AplMech,Pre-Apld Sci(Applied Mech),,WI91,FA09,UN,AMES,None,4,RE MU TH WA FI,149999,"ENGINEERING, OTHER",YES,,YES,,,,,,,,,
,716,AM02,Pr-BioenPM,Pre-Apld Sci(Bioengin:Pre-Med),,WI91,FA95,UN,AMES,None,4,RE MU TH WA FI,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
,716,AM03,Pr-EnBioen,Pre-Engin (Bioengineering),,WI91,FA95,UN,AMES,None,4,RE MU TH WA FI,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
,716,AM04,Pr-Chem En,Pre-Chemical Engineering,,WI91,FA09,UN,AMES,None,4,RE MU TH WA FI,140702,CHEMICAL ENGINEERING,YES,,YES,,,,,,,,,
,716,AM05,Pr-Eng Sci,Pre-Engineering Science,,WI91,FA09,UN,AMES,None,4,RE MU TH WA FI,141301,ENGINEERING SCIENCE,YES,,YES,,,,,,,,,
,716,AM06,Pr-Mech En,Pre-Mechanical Engineering,,WI91,FA09,UN,AMES,None,4,RE MU TH WA FI,141901,MECHANICAL ENGINEERING,YES,,YES,,,,,,,,,
,716,AM07,Pr-StrucEn,Pre-Structural Engineering,,WI91,FA09,UN,AMES,None,4,RE MU TH WA FI,140803,STRUCTURAL ENGINEERING,YES,,YES,,,,,,,,,
,716,AM08,Pr-Sys&Cnt,Pre-Engin (Systems&Cntrl Eng),,WI91,FA09,UN,AMES,None,4,RE MU TH WA FI,142701,SYSTEMS ENGINEERING,YES,,YES,,,,,,,,,
,716,AM09,Pr-Aerosp,Pre-Aerospace Engineering,,WI92,FA09,UN,AMES,None,4,RE MU TH WA FI,140201,AEROSPACE/AERONAUTICAL/ASTRO,YES,,YES,,,,,,,,,
