Term Code,Term ID,Course ID,Course Subject Code,Course Number,Prereq Sequence ID,Prereq Course ID,Prereq Subject Code,Prereq Course Number,Prereq Minimum Grade Priority,Prereq Minimum Grade,Allow concurrent registration
FA26,1005,ECON2000,ECON,2000,,,,,,,
FA26,1005,ENGL1001,ENGL,1001,,,,,,,
FA26,1005,MATH1021,MATH,1021,,,,,,,
FA26,1005,GENED-NATURALSCIENCE,NSCI,1000,,,,,,,
FA26,1005,GENED-HUMANITIES,HUMA,1000,,,,,,,
FA26,1005,ACCT2001,ACCT,2001,1,MATH1021,MATH,1021,600,P,N
FA26,1005,ISDS1102,ISDS,1102,1,MATH1021,MATH,1021,600,P,N
FA26,1005,CXC1000,CXC,1000,,,,,,,
FA26,1005,ECON2010,ECON,2010,1,ECON2000,ECON,2000,600,P,N
FA26,1005,ISDS2000,ISDS,2000,1,MATH1431,MATH,1431,600,P,N
FA26,1005,MATH1431,MATH,1431,1,MATH1021,MATH,1021,600,P,N
FA26,1005,ACCT2101,ACCT,2101,1,ACCT2001,ACCT,2001,600,P,N
FA26,1005,ECON2035,ECON,2035,1,ECON2000,ECON,2000,600,P,N
FA26,1005,ECON2035,ECON,2035,2,ECON2010,ECON,2010,600,P,N
FA26,1005,ENGL2000,ENGL,2000,1,ENGL1001,ENGL,1001,600,P,N
FA26,1005,ISDS2001,ISDS,2001,1,ISDS2000,ISDS,2000,600,P,N
FA26,1005,GENED-ART,GENED-ART,1001,1,,,,,,
FA26,1005,ACCT3001,ACCT,3001,1,ACCT2101,ACCT,2101,600,P,N
FA26,1005,ACCT3001,ACCT,3001,2,ISDS2001,ISDS,2001,600,P,N
FA26,1005,ACCT3001,ACCT,3001,3,ACCT2001,ACCT,2001,600,P,N
FA26,1005,ACCT3001,ACCT,3001,4,ISDS1102,ISDS,1102,600,P,N
FA26,1005,ACCT3001,ACCT,3001,5,ECON2000,ECON,2000,600,P,N
FA26,1005,ACCT3001,ACCT,3001,6,MATH1431,MATH,1431,600,P,N
FA26,1005,ACCT3001,ACCT,3001,7,MATH1021,MATH,1021,600,P,N
FA26,1005,ACCT3001,ACCT,3001,8,ENGL1001,ENGL,1001,600,P,N
FA26,1005,ACCT3025,ACCT,3025,1,ACCT2101,ACCT,2101,600,P,N
FA26,1005,ACCT3025,ACCT,3025,2,ISDS2001,ISDS,2001,600,P,N
FA26,1005,FIN3716,FIN,3716,1,ECON2010,ECON,2010,600,P,N
FA26,1005,FIN3716,FIN,3716,2,ACCT2001,ACCT,2001,600,P,N
FA26,1005,FIN3716,FIN,3716,3,ISDS2000,ISDS,2000,600,P,N
FA26,1005,ISDS3115,ISDS,3115,1,ISDS2001,ISDS,2001,600,P,Y
FA26,1005,ACCT3021,ACCT,3021,1,ACCT3001,ACCT,3001,600,P,N
FA26,1005,ACCT3121,ACCT,3121,2,ACCT3001,ACCT,3001,600,P,N
FA26,1005,BLAW2201,BLAW,2201,,,,,,,
FA26,1005,MGT3200,MGT,3200,,,,,,,
FA26,1005,MKT3401,MKT,3401,,,,,,,
FA26,1005,ACCT3122,ACCT,3122,1,ACCT3001,ACCT,3001,600,P,N
FA26,1005,ACCT3122,ACCT,3122,2,ACCT3025,ACCT,3025,600,P,N
FA26,1005,ACCT3122,ACCT,3122,3,ISDS1102,ISDS,1102,600,P,N
FA26,1005,ACCT3221,ACCT,3221,1,ACCT3001,ACCT,3001,600,P,N
FA26,1005,ACCT4022,ACCT,4022,1,ACCT3021,ACCT,3021,600,P,N
FA26,1005,ACCT4421,ACCT,4421,1,ACCT3001,ACCT,3001,600,P,N
FA26,1005,BLAW4203,BLAW,4203,1,BLAW3201,BLAW,3201,600,P,N
FA26,1005,ELECTIVE,ELEC,1001,,,,,,,
FA26,1005,ACCT3222,ACCT,3222,1,ACCT3021,ACCT,3021,600,P,N
FA26,1005,ACCT3222,ACCT,3222,2,ACCT3122,ACCT,3122,600,P,N
FA26,1005,ACCT4244,ACCT,4244,1,ACCT3122,ACCT,3122,600,P,N
FA26,1005,ACCT4244,ACCT,4244,2,ACCT3233,ACCT,3233,600,P,N
FA26,1005,MGMT3830,MGMT,3830,1,MGMT3200,MGT,3200,600,P,N
FA26,1005,MGMT3830,MGMT,3830,2,MKT3401,MKT,3401,600,P,N
